id,fname,SMILES,first_triplet,first_singlet,dipole_moment
905,electronic_prop_molecule_3186.dat,Cn1nc2ccnc(-c3cc4c(s3)-c3sccc3C4)c2n1,2.567,3.201,4.33683
906,electronic_prop_molecule_1949.dat,COc1c(F)csc1-c1c(SC)c(SC)c(-c2c(F)c(F)c(-c3sc(-c4ccco4)cc3C)n2C)c2nc(F)c(C)nc12,3.047,3.316,4.99909
907,electronic_prop_molecule_1791.dat,COc1c(SC)cc(-c2nc3ccc(F)c(-c4cc5[nH]c6ccsc6c5o4)c3nc2-c2cccc(F)c2)cc1SC,2.528,2.976,4.22462
908,electronic_prop_molecule_496.dat,COc1ccc(-c2c3ccn(C)c3c(-c3cc(F)c(OC)c(F)c3)c3c(SC)c(-c4c(C)c(C)c(-c5ccc(-c6cc(SC)c(-c7cc8c(-c9ccc(OC)c(C)c9)c9sc(-c%10c(C)c(C)c(-c%11ccc(-c%12cc(SC)cn%12C)c%12nc(-c%13cc(F)c(SC)c(F)c%13)c(-c%13cc(C)c(OC)c(OC)c%13)nc%11%12)n%10C)c(SC)c9c(-c9cc(F)c(OC)c(F)c9)c8n7C)n6C)c6nc(-c7cc(F)c(SC)c(F)c7)c(-c7cc(C)c(OC)c(OC)c7)nc56)n4C)sc23)cc1C,2.531,2.887,8.4848
909,electronic_prop_molecule_3838.dat,CSc1c2oc(-c3oc(-c4ncc(-c5occ(F)c5F)c5nonc45)c(F)c3F)c(F)c2c(SC)c2occ(F)c12,1.987,2.581,1.18541
910,electronic_prop_molecule_482.dat,COc1cc2c(cc1C)C(=O)c1c(-c3cc(F)c(-c4sc5c(F)c(-c6oc(-c7sc(-c8cc(F)c(-c9sc%10c(F)csc%10c9F)o8)c8c7C(=O)c7cc(OC)c(C)cc7C8=O)cc6SC)sc5c4F)o3)sc(-c3cc(SC)co3)c1C2=O,2.187,2.41,2.94923
911,electronic_prop_molecule_1785.dat,CSc1sc(F)c2c1C(=O)c1c(-c3cc(C)cs3)oc(-c3ccc(-c4cc5c([se]4)-c4occc4[SiH2]5)s3)c1C2=O,2.205,2.68,3.6011
912,electronic_prop_molecule_4825.dat,Cc1csc2c(-c3cc(F)c(F)c(F)c3)c3c(C)c(-c4ncc(-c5sc6c(-c7cc(F)c(F)c(F)c7)c7c(C)c(-c8nccc9nn(C)nc89)sc7c(-c7cc(F)c(F)c(F)c7)c6c5C)c5nn(C)nc45)sc3c(-c3cc(F)c(F)c(F)c3)c12,2.648,3.028,4.85705
913,electronic_prop_molecule_3192.dat,COc1csc2c(-c3cc(SC)c(SC)c(SC)c3)c3c(OC)c(-c4nccc5nn(C)nc45)sc3c(-c3cc(SC)c(SC)c(SC)c3)c12,2.672,3.214,4.18818
914,electronic_prop_molecule_3179.dat,COc1cc(-c2c3oc(-c4nccc5nn(C)nc45)c(SC)c3c(-c3cc(OC)c(OC)c(OC)c3)c3occ(SC)c23)cc(OC)c1OC,2.839,3.361,3.60957
915,electronic_prop_molecule_4616.dat,COc1csc2cc3c(OC)c(-c4oc(-c5ncc(-c6occ(SC)c6SC)c6nonc56)c(SC)c4SC)sc3cc12,1.913,2.472,2.1011
916,electronic_prop_molecule_2267.dat,CSc1c(-c2cc3[nH]c4cc[se]c4c3o2)sc(-c2c(F)cc(-c3c(SC)c(F)cn3C)c3nonc23)c1C,2.301,2.726,4.26429
917,electronic_prop_molecule_1008.dat,COc1cc(-c2ccc(-c3sc(-c4c(OC)c(F)c(-c5oc(-c6c(OC)cc(-c7ccc(-c8sc(-c9c(OC)c(F)c(-c%10occ(F)c%10SC)c%10nc(OC)c(C)nc9%10)c(SC)c8F)o7)n6C)c(F)c5SC)c5nc(OC)c(C)nc45)c(SC)c3F)o2)n(C)c1,2.18,2.409,1.63028
918,electronic_prop_molecule_2501.dat,CSc1c(-c2cc3c([se]2)-c2oc(-c4c(F)c(SC)c(-c5cc(F)c(-c6sc(-c7cc8c([se]7)-c7occc7[SiH2]8)c(SC)c6C)c6nonc56)n4C)cc2[SiH2]3)sc(-c2c(F)cc(-c3c(SC)c(F)cn3C)c3nonc23)c1C,1.147,1.548,10.56576
919,electronic_prop_molecule_4170.dat,CSc1c2sc(-c3ccc(-c4ncc(-c5cccs5)c5nsnc45)s3)c(C)c2c(SC)c2scc(C)c12,1.96,2.449,1.37296
920,electronic_prop_molecule_469.dat,COc1cc(-c2nc3c(-c4c(F)c5scc(SC)c5n4C)c(C)c(SC)c(-c4cc5c(s4)c(F)c(-c4c(OC)c6oc(-c7sc8c(F)c(-c9c(C)c(SC)c(-c%10cc%11c(s%10)c(F)c(-c%10c(OC)c%12occc%12n%10C)n%11C)c%10nc(-c%11cc(C)cc(C)c%11)c(-c%11ccc(C)c(OC)c%11)nc9%10)n(C)c8c7SC)cc6n4C)n5C)c3nc2-c2cc(C)cc(C)c2)ccc1C,2.519,2.728,5.5213
921,electronic_prop_molecule_2515.dat,COc1coc2cc(-c3c(SC)cc(-c4oc5cc(-c6cc7[nH]c8cc(-c9oc%10cc(-c%11c(SC)cc(-c%12oc%13cc(-c%14cc%15[nH]c%16ccsc%16c%15o%14)oc%13c%12SC)c%12nc(SC)cnc%11%12)oc%10c9OC)sc8c7o6)oc5c4SC)c4nc(SC)cnc34)oc12,2.106,2.28,16.11852
922,electronic_prop_molecule_4164.dat,COc1coc2c(F)c3c(OC)c(-c4ccc(-c5ncc(-c6cccs6)c6nsnc56)s4)oc3c(F)c12,1.905,2.405,2.48346
923,electronic_prop_molecule_4602.dat,COc1coc2c(F)c3c(OC)c(-c4oc(-c5ncc(-c6occ(SC)c6SC)c6nonc56)c(SC)c4SC)oc3c(F)c12,2.058,2.548,2.69554
924,electronic_prop_molecule_2273.dat,COc1[se]c(C)c2c1C(=O)c1c(-c3cc(F)c(-c4cc5oc6c(C)c(-c7sc(-c8oc(-c9cc(F)c(-c%10cc%11oc%12c(C)coc%12c%11n%10C)o9)c9c8C(=O)c8c(C)[se]c(OC)c8C9=O)cc7SC)oc6c5n4C)o3)oc(-c3cc(SC)cs3)c1C2=O,2.218,2.435,4.24797
925,electronic_prop_molecule_1752.dat,Cc1cc(-c2cccs2)oc1-c1cc(F)cc2nn(C)nc12,2.799,3.422,2.89479
926,electronic_prop_molecule_333.dat,CSc1cc2nc(-c3ccc(F)c(F)c3)c(-c3ccccc3)nc2c(-c2cc3oc4c(F)c(-c5c(SC)c(C)c(-c6cc7oc8c(F)coc8c7s6)c6nc(-c7ccccc7)c(-c7ccc(F)c(F)c7)nc56)oc4c3s2)c1C,2.642,2.878,2.32173
927,electronic_prop_molecule_3145.dat,Cc1csc2c(-c3cc(F)c(F)c(F)c3)c3c(C)c(-c4nccc5nn(C)nc45)sc3c(-c3cc(F)c(F)c(F)c3)c12,2.895,3.386,3.26836
928,electronic_prop_molecule_455.dat,CSc1cc(-c2c(C)c(SC)c(-c3c(C)cc(-c4oc(-c5cc(F)c(-c6sc(-c7c(C)c(SC)c(-c8c(C)cc(-c9occ(SC)c9F)c9nsnc89)n7C)cc6SC)n5C)c(SC)c4F)c4nsnc34)n2C)sc1-c1c(F)ccn1C,2.369,2.698,3.09583
929,electronic_prop_molecule_3623.dat,Cc1csc(-c2cnc(-c3sc(-c4c(C)c5c(F)c6c(c(C)cn6C)c(F)c5n4C)c(C)c3C)c3nsnc23)c1C,2.161,2.638,0.81836
930,electronic_prop_molecule_2529.dat,COc1cccc(-c2nc3cc(SC)c(F)c(-c4cc5c(-c6cc(OC)c(F)o6)c6sccc6c(-c6cc(SC)c(F)n6C)c5n4C)c3nc2-c2cc(OC)c(F)c(SC)c2)c1,2.712,3.16,4.64208
931,electronic_prop_molecule_4158.dat,Cc1coc2c(F)c3c(C)c(-c4ccc(-c5ncc(-c6cccs6)c6nsnc56)s4)oc3c(F)c12,1.954,2.453,1.29258
932,electronic_prop_molecule_3637.dat,Cc1csc(-c2cnc(-c3sc(-c4oc5cc6c(C)coc6cc5c4C)c(C)c3C)c3nsnc23)c1C,2,2.47,1.05617
933,electronic_prop_molecule_441.dat,COc1sc(-c2c3cc(-c4c(F)cc(-c5sc6c(-c7cc(C)c(OC)s7)c7cc(-c8c(F)ccc9nc(-c%10cc(SC)c(OC)c(SC)c%10)c(-c%10cccc(F)c%10)nc89)sc7c(-c7ccc(F)s7)c6c5SC)c5nc(-c6cc(SC)c(OC)c(SC)c6)c(-c6cccc(F)c6)nc45)sc3c(-c3ccc(F)s3)c3c(SC)csc23)cc1C,2.561,2.839,7.60481
934,electronic_prop_molecule_3151.dat,c1cc2nonc2c(-c2cc3c(s2)-c2sccc2C3)n1,2.17,2.903,4.28168
935,electronic_prop_molecule_327.dat,Cn1nc2cc(F)cc(-c3oc4cc5c(F)c(-c6c(F)cc(-c7oc8cc9c(F)cn(C)c9c(F)c8c7F)c7nn(C)nc67)n(C)c5c(F)c4c3F)c2n1,2.687,3.112,6.86132
936,electronic_prop_molecule_1746.dat,O=C1c2c(coc2F)C(=O)c2c(-c3ccc[se]3)oc(-c3cc(F)c(-c4cc5[nH]c6cc[se]c6c5[se]4)s3)c21,2.275,2.768,4.99527
937,electronic_prop_molecule_870.dat,COc1cc(-c2c3cc(-c4c(C)c(C)c(-c5ccc(-c6cc(SC)cn6C)c6nc(-c7cc(F)c(SC)c(F)c7)c(-c7cc(C)c(OC)c(OC)c7)nc56)n4C)n(C)c3c(-c3cc(SC)c(F)n3C)c3ccsc23)oc1F,2.799,3.079,1.10125
938,electronic_prop_molecule_2918.dat,COc1c(F)cc(-c2nc3c(-c4sc5c(OC)cn(C)c5c4F)ccc(-c4cc5c(cc(-c6oc7c(C)c8ccoc8cc7c6SC)n5C)n4C)c3nc2-c2cccc(F)c2)cc1F,2.208,2.544,3.11563
939,electronic_prop_molecule_864.dat,COc1cc(-c2c(F)ccc3nc(C)cnc23)oc1-c1sccc1SC,2.491,3.026,5.10937
940,electronic_prop_molecule_5093.dat,Fc1ccoc1-c1oc(-c2sc(-c3ncc(-c4sc(-c5cc(F)c(-c6oc(-c7sc(-c8ncc(-c9scc(F)c9F)c9nsnc89)c(F)c7F)cc6F)o5)c(F)c4F)c4nsnc34)c(F)c2F)cc1F,1.96,2.238,3.60912
941,electronic_prop_molecule_694.dat,COc1cc(-c2ccc(-c3c(C)c4sc(-c5c(OC)c(C)c(-c6c(C)c7occ(OC)c7n6C)c6nc(SC)cnc56)cc4n3C)n2C)n(C)c1,2.536,2.884,3.30417
942,electronic_prop_molecule_2924.dat,COc1cc2c(cc1F)C(=O)c1c(-c3cc(F)c(-c4sc5c(-c6cc(C)c(SC)c(SC)c6)c6c(OC)csc6c(-c6cc(SC)c(F)c(SC)c6)c5c4OC)o3)sc(-c3cc(F)c[se]3)c1C2=O,2.459,2.863,1.37494
943,electronic_prop_molecule_1593.dat,COc1c2oc(-c3sc(-c4oc(-c5cc(F)cs5)c5c4C(=O)c4csc(C)c4C5=O)cc3SC)c(F)c2c(F)c2occ(C)c12,2.258,2.782,5.25374
944,electronic_prop_molecule_3384.dat,COc1cc(-c2c3oc(-c4nccc5nsnc45)c(F)c3c(-c3cc(OC)c(OC)c(OC)c3)c3occ(F)c23)cc(OC)c1OC,2.499,3.024,1.57882
945,electronic_prop_molecule_3390.dat,Fc1coc(-c2cnc(-c3oc(-c4oc5c(F)c6c(F)coc6c(F)c5c4F)c(F)c3F)c3nonc23)c1F,2.089,2.709,4.33259
946,electronic_prop_molecule_1587.dat,COc1ccoc1-c1ccc(-c2c(OC)c(F)c(-c3c(F)c(SC)c(-c4occ(SC)c4F)c4nc(-c5ccc(SC)cc5)c(-c5ccc(F)c(SC)c5)nc34)n2C)s1,2.564,2.816,5.13794
947,electronic_prop_molecule_858.dat,COc1c(F)c(-c2c(F)c(SC)c(-c3occ(SC)c3F)c3nc(-c4ccc(SC)cc4)c(-c4ccc(F)c(SC)c4)nc23)n(C)c1-c1cc2sc3c(F)coc3c2s1,2.645,2.959,4.44943
948,electronic_prop_molecule_5087.dat,COc1csc(-c2cnc(-c3sc(-c4cc(SC)c(-c5c(SC)cc(-c6sc(-c7cnc(-c8sc(-c9cc(SC)c(-c%10c(SC)ccn%10C)n9C)c(OC)c8OC)c8nsnc78)c(OC)c6OC)n5C)n4C)c(OC)c3OC)c3nsnc23)c1OC,1.778,2.192,5.0109
949,electronic_prop_molecule_680.dat,COc1cc(-c2c(SC)ccn2C)oc1-c1sc(-c2c(OC)c(F)c(-c3occ(F)c3SC)c3nc(OC)c(C)nc23)c(SC)c1F,2.948,3.24,5.89281
950,electronic_prop_molecule_2930.dat,COc1cc(-c2nc3c(-c4cc5c(-c6cc(C)c(F)c(F)c6)c6occ(F)c6c(-c6cc(OC)c(SC)c(SC)c6)c5s4)c(SC)c(C)cc3nc2-c2cc(C)c(F)c(F)c2)cc(SC)c1F,3.085,3.449,2.61614
951,electronic_prop_molecule_4399.dat,COc1csc(-c2cnc(-c3sc(-c4oc5cc6c(F)coc6cc5c4F)c(OC)c3OC)c3nsnc23)c1OC,2.104,2.569,3.5411
952,electronic_prop_molecule_4372.dat,COc1coc(-c2cnc(-c3oc(-c4sc5c(OC)c6c(F)csc6c(OC)c5c4F)c(OC)c3OC)c3nonc23)c1OC,1.904,2.5,4.62036
953,electronic_prop_molecule_58.dat,COc1cc(-c2sccc2C)sc1-c1c(OC)c(OC)cc2nonc12,2.453,3.052,4.79433
954,electronic_prop_molecule_2703.dat,COc1cc2c(cc1C)C(=O)c1c(-c3cc(F)c(-c4sc5c(F)csc5c4F)s3)[se]c(-c3cc(F)c[se]3)c1C2=O,2.347,2.822,3.35766
955,electronic_prop_molecule_2065.dat,COc1cc(-c2ccc(-c3c(F)c4sc(-c5c(OC)c(OC)c(-c6sc7c(C)c(-c8c(OC)cc(-c9ccc(-c%10c(F)c%11sc(-c%12c(OC)c(OC)c(-c%13sc%14c(C)csc%14c%13OC)c%13nc(-c%14cc(F)c(C)c(F)c%14)c(-c%14cc(OC)c(C)c(OC)c%14)nc%12%13)cc%11n%10C)o9)n8C)sc7c6OC)c6nc(-c7cc(F)c(C)c(F)c7)c(-c7cc(OC)c(C)c(OC)c7)nc56)cc4n3C)o2)n(C)c1,2.194,2.431,9.61217
956,electronic_prop_molecule_4414.dat,COc1csc(-c2cnc(-c3sc(-c4cc5c(C)c6sccc6c(C)c5s4)c(OC)c3OC)c3nsnc23)c1OC,2.135,2.597,4.22076
957,electronic_prop_molecule_2071.dat,COc1c(C)c(-c2c(F)c(F)c(-c3occ(SC)c3SC)c3nccnc23)n(C)c1-c1cc2[nH]c3cc[se]c3c2o1,2.609,2.891,3.8179
958,electronic_prop_molecule_4400.dat,COc1csc(-c2cnc(-c3sc(-c4c(C)c5cc6c(cc5n4C)c(C)cn6C)c(OC)c3OC)c3nsnc23)c1OC,1.859,2.344,1.41638
959,electronic_prop_molecule_119.dat,COc1cc(-c2sccc2C)sc1-c1c(C)c2oc(-c3c(SC)c(C)c(-c4oc5c(F)coc5c4OC)c4nsnc34)c(C)c2n1C,2.229,2.587,3.41551
960,electronic_prop_molecule_1578.dat,COc1cc(C)cc(-c2c3cc(-c4c(C)c(SC)cc5nc(-c6ccc(F)c(F)c6)c(-c6ccccc6)nc45)sc3c(-c3cc(F)cc(SC)c3)c3c(C)csc23)c1,3.24,3.543,1.91438
961,electronic_prop_molecule_3409.dat,Cc1cn(C)c(-c2cnc(-c3c(C)c(C)c(-c4sc5cc6c(F)csc6cc5c4F)n3C)c3nn(C)nc23)c1C,2.674,3.084,4.40574
962,electronic_prop_molecule_4366.dat,COc1coc(-c2cnc(-c3oc(-c4sc5cc6c(OC)csc6cc5c4OC)c(OC)c3OC)c3nonc23)c1OC,1.851,2.454,3.40352
963,electronic_prop_molecule_5078.dat,Cc1ccoc1-c1oc(-c2sc(-c3ncc(-c4sc(-c5cc(C)c(-c6oc(-c7sc(-c8ncc(-c9scc(C)c9C)c9nsnc89)c(C)c7C)cc6C)o5)c(C)c4C)c4nsnc34)c(C)c2C)cc1C,1.898,2.2,2.37521
964,electronic_prop_molecule_2717.dat,CSc1cc(-c2cc(F)cc3nc(SC)c(SC)nc23)sc1-c1cccs1,2.835,3.288,2.11733
965,electronic_prop_molecule_1236.dat,COc1cc(-c2c3cc(-c4c(F)ccc5nc(-c6cc(SC)c(OC)c(SC)c6)c(-c6cccc(F)c6)nc45)n(C)c3c(-c3cc(SC)c(F)n3C)c3ccsc23)oc1F,2.644,2.978,3.7952
966,electronic_prop_molecule_3421.dat,COc1cn(C)c2c(-c3ccccc3)c3c(OC)c(-c4nccc5nonc45)n(C)c3c(-c3ccccc3)c12,2.134,2.602,3.94601
967,electronic_prop_molecule_657.dat,COc1nc2c(-c3oc(-c4cc5oc6c(F)coc6c5s4)c(F)c3C)c(C)c(OC)c(-c3occ(C)c3SC)c2nc1C,2.867,3.414,3.0648
968,electronic_prop_molecule_5050.dat,c1csc(-c2ccc(-c3ccc(-c4ncc(-c5ccc(-c6ccc(-c7ccc(-c8ccc(-c9ncc(-c%10cccs%10)c%10nsnc9%10)s8)s7)s6)s5)c5nsnc45)s3)s2)c1,1.767,2.041,1.38424
969,electronic_prop_molecule_64.dat,COc1cc2nonc2c(-c2cc(C)c(-c3sccc3SC)o2)c1OC,3.105,3.603,4.52683
970,electronic_prop_molecule_2059.dat,COc1ccc(-c2nc3c(-c4oc(-c5ccc(-c6c(SC)c(OC)c(-c7oc(-c8cccs8)cc7C)c7nc(-c8ccc(OC)c(SC)c8)c(-c8cc(F)c(SC)c(F)c8)nc67)s5)cc4C)c(OC)c(SC)cc3nc2-c2cc(F)c(SC)c(F)c2)cc1SC,2.513,2.783,2.6101
971,electronic_prop_molecule_4428.dat,COc1cn(C)c(-c2cnc(-c3c(OC)c(OC)c(-c4sc5c(F)c6c(C)csc6c(F)c5c4C)n3C)c3nn(C)nc23)c1OC,2.583,3.035,4.37176
972,electronic_prop_molecule_3347.dat,Cc1cc(-c2c3sc(-c4nccc5nsnc45)c(F)c3c(-c3cc(C)c(C)c(C)c3)c3scc(F)c23)cc(C)c1C,2.489,2.995,0.75499
973,electronic_prop_molecule_131.dat,COc1c2sc(-c3c(F)c4oc(-c5cc(F)c(-c6c(SC)c7c(c(OC)cn7C)n6C)c6nn(C)nc56)c(SC)c4n3C)c(C)c2c(OC)c2c1c(C)cn2C,2.667,3.071,3.62942
974,electronic_prop_molecule_1550.dat,COc1ccc2nsnc2c1-c1oc2c(-c3cc(C)c(F)c(F)c3)c3c(OC)csc3c(-c3ccc(C)cc3)c2c1C,2.58,3.131,0.99738
975,electronic_prop_molecule_1544.dat,COc1cc(-c2ccc(-c3oc(-c4c(C)cc(-c5c(OC)c(C)cn5C)c5nn(C)nc45)c(C)c3F)o2)n(C)c1,2.635,3.033,4.29144
976,electronic_prop_molecule_125.dat,COc1c(-c2c(C)c(SC)c(-c3oc4c(C)c(-c5cc6c([se]5)-c5occc5[SiH2]6)n(C)c4c3C)c3nsnc23)oc2c(F)coc12,2.298,2.602,3.56033
977,electronic_prop_molecule_3353.dat,Cc1coc2c(-c3cc(F)c(F)c(F)c3)c3c(C)c(-c4nccc5nsnc45)oc3c(-c3cc(F)c(F)c(F)c3)c12,2.487,3.076,1.15777
978,electronic_prop_molecule_643.dat,COc1ccc2nsnc2c1-c1c(OC)c2occ(OC)c2n1C,2.384,2.847,2.48007
979,electronic_prop_molecule_3435.dat,Cc1coc(-c2cnc(-c3oc(-c4oc5c(C)c6c(C)coc6c(C)c5c4C)c(C)c3C)c3nonc23)c1C,1.802,2.404,1.66345
980,electronic_prop_molecule_5044.dat,Fc1ccoc1-c1oc(-c2ccc(-c3ncc(-c4ccc(-c5cc(F)c(-c6oc(-c7ccc(-c8ncc(-c9cccs9)c9nsnc89)s7)cc6F)o5)s4)c4nsnc34)s2)cc1F,1.776,2.075,3.19326
981,electronic_prop_molecule_70.dat,COc1c(F)csc1-c1c(SC)c(SC)c(-c2c(F)c(F)c(-c3sc4c(C)cn(C)c4c3SC)n2C)c2nc(F)c(C)nc12,3.056,3.293,3.73486
982,electronic_prop_molecule_1222.dat,COc1cccc(-c2nc3cc(SC)c(F)c(-c4cc5oc6c(SC)coc6c5n4C)c3nc2-c2cc(OC)c(F)c(SC)c2)c1,2.897,3.24,6.06942
983,electronic_prop_molecule_1552.dat,COc1c2sc(-c3sc(-c4oc(-c5cc(F)cs5)c5c4C(=O)c4csc(C)c4C5=O)cc3SC)c(C)c2c(OC)c2c1c(C)cn2C,2.631,3.061,3.4676
984,electronic_prop_molecule_133.dat,CSc1c(-c2c(F)c(C)c(-c3c(SC)c4c(c(SC)cn4C)n3C)c3nn(C)nc23)sc2c(C)c(-c3cc4[nH]c5ccsc5c4o3)oc12,2.586,3.022,4.74765
985,electronic_prop_molecule_3345.dat,COc1coc2c(-c3cc(C)c(C)c(C)c3)c3c(OC)c(-c4nccc5nsnc45)oc3c(-c3cc(C)c(C)c(C)c3)c12,2.257,2.889,1.66347
986,electronic_prop_molecule_66.dat,COc1c2sc(-c3c(SC)c(SC)cc4nonc34)c(C)c2c(OC)c2c1c(C)cn2C,2.623,2.965,3.36869
987,electronic_prop_molecule_5052.dat,COc1cn(C)c(-c2cnc(-c3c(OC)c(OC)c(-c4cc(C)c(-c5sc(-c6c(OC)c(OC)c(-c7cnc(-c8c(OC)c(OC)c(-c9cc(C)c(-c%10sccc%10C)s9)n8C)c8nn(C)nc78)n6C)cc5C)s4)n3C)c3c2[N]N(C)[N]3)c1OC,2.337,2.548,3.48946
988,electronic_prop_molecule_655.dat,COc1cc(-c2oc(-c3c(C)c(OC)c(-c4occ(C)c4SC)c4nc(C)c(OC)nc34)c(C)c2F)oc1-c1sccc1SC,3.014,3.363,3.71905
989,electronic_prop_molecule_3423.dat,COc1coc2c(-c3cc(F)c(F)c(F)c3)c3c(OC)c(-c4nccc5nonc45)oc3c(-c3cc(F)c(F)c(F)c3)c12,2.395,3.088,2.04731
990,electronic_prop_molecule_1234.dat,COc1ccc(-c2nc3c(-c4sc5c(oc6c(F)coc65)c4SC)c(OC)c(SC)cc3nc2-c2cc(F)c(SC)c(F)c2)cc1SC,3.255,3.544,2.83588
991,electronic_prop_molecule_1220.dat,COc1ccc(-c2nc3c(-c4cc(SC)c(-c5c(F)ccn5C)s4)c(F)c(OC)cc3nc2-c2ccc(F)c(C)c2)cc1C,2.699,3.048,2.61393
992,electronic_prop_molecule_2729.dat,CSc1ccn(C)c1-c1cc(C)c(-c2oc3c(SC)c(-c4c(F)c(C)c(-c5c(SC)c6c(c(SC)cn6C)n5C)c5nn(C)nc45)sc3c2C)s1,2.854,3.198,2.16688
993,electronic_prop_molecule_72.dat,COc1c(F)csc1-c1c(SC)c(SC)c(-c2c(F)c(F)c(-c3sc4c(C)c(-c5sc(-c6c(SC)c(SC)c(-c7c(F)c(F)c(-c8sc9c(C)cn(C)c9c8SC)n7C)c7nc(F)c(C)nc67)c(OC)c5F)n(C)c4c3SC)n2C)c2nc(F)c(C)nc12,2.746,3.001,11.37149
994,electronic_prop_molecule_899.dat,COc1ccc(-c2c3ccn(C)c3c(-c3cc(F)c(OC)c(F)c3)c3c(SC)c(-c4c(SC)c(C)c(-c5c(OC)c(C)c(-c6occc6OC)c6nc(-c7cc(OC)c(OC)c(SC)c7)c(-c7cc(C)c(F)c(SC)c7)nc56)n4C)sc23)cc1C,3.219,3.577,5.11098
995,electronic_prop_molecule_5046.dat,CSc1coc(-c2cnc(-c3oc(-c4ccc(-c5ccc(-c6oc(-c7cnc(-c8oc(-c9ccc(-c%10cccn%10C)n9C)c(SC)c8SC)c8nonc78)c(SC)c6SC)n5C)n4C)c(SC)c3SC)c3nonc23)c1SC,1.799,2.232,4.48464
996,electronic_prop_molecule_4358.dat,COc1coc(-c2cnc(-c3oc(-c4cc5cc6c(ccn6C)cc5n4C)c(OC)c3OC)c3nonc23)c1OC,1.81,2.417,3.79561
997,electronic_prop_molecule_3437.dat,CSc1cc(-c2c3c(C)c(-c4nccc5nonc45)n(C)c3c(-c3cc(SC)c(SC)c(SC)c3)c3c(C)cn(C)c23)cc(SC)c1SC,2.132,2.646,4.75887
998,electronic_prop_molecule_641.dat,COc1c(-c2sc(-c3oc(-c4ccc[se]4)c4c3C(=O)c3c(coc3F)C4=O)cc2F)n(C)c2c(C)csc12,2.228,2.807,0.99314
999,electronic_prop_molecule_3351.dat,COc1c2cc(-c3oc(-c4ncc(-c5occ(C)c5C)c5nonc45)c(C)c3C)oc2c(OC)c2ccoc12,1.836,2.45,1.56629
1000,electronic_prop_molecule_127.dat,COc1cc(-c2c(OC)c3c(c(SC)c(-c4c(F)cc(-c5oc6c(F)c(-c7ccc(-c8occc8OC)s7)n(C)c6c5SC)c5nn(C)nc45)n3C)n2C)oc1-c1ccc(-c2c(F)c3oc(-c4cc(F)c(-c5c(SC)c6c(c(OC)cn6C)n5C)c5nn(C)nc45)c(SC)c3n2C)s1,2.305,2.54,8.35153
1001,electronic_prop_molecule_1546.dat,COc1ccc2nsnc2c1-c1cc2oc3c(C)coc3c2n1C,2.355,2.805,2.99053
1002,electronic_prop_molecule_3379.dat,CSc1cn(C)c2c(-c3ccccc3)c3c(SC)c(-c4nccc5nsnc45)n(C)c3c(-c3ccccc3)c12,2.37,2.77,1.50329
1003,electronic_prop_molecule_4416.dat,COc1cn(C)c(-c2cnc(-c3c(OC)c(OC)c(-c4c(OC)c5c(C)c6c(c(OC)cn6C)c(C)c5n4C)n3C)c3nn(C)nc23)c1OC,2.619,3.099,3.69947
1004,electronic_prop_molecule_2067.dat,Cc1cc(-c2cccn2C)oc1-c1sc(-c2oc(-c3ccc[se]3)c3c2C(=O)c2c(coc2F)C3=O)cc1F,2.147,2.707,1.52128
1005,electronic_prop_molecule_1208.dat,CSc1ccn(C)c1-c1cc(C)c(-c2sc(-c3c(F)cc(-c4c(SC)c(F)cn4C)c4nonc34)c(C)c2SC)s1,2.334,2.767,4.24153
1006,electronic_prop_molecule_2701.dat,COc1c(-c2oc3c(-c4cc(C)c(C)c(C)c4)c4c(OC)coc4c(-c4cc(F)c(C)c(F)c4)c3c2SC)oc(-c2c(F)cc(-c3scc(F)c3SC)c3nn(C)nc23)c1OC,2.352,2.765,3.3749
1007,electronic_prop_molecule_4370.dat,COc1coc(-c2cnc(-c3oc(-c4sc5c(OC)c6c(OC)csc6c(OC)c5c4OC)c(OC)c3OC)c3nonc23)c1OC,1.976,2.615,2.22673
1008,electronic_prop_molecule_669.dat,COc1c(F)csc1-c1c(SC)c(SC)c(-c2c(F)c(F)c(-c3ccc(-c4cc(SC)co4)s3)n2C)c2nc(F)c(C)nc12,2.768,3.068,1.82079
1009,electronic_prop_molecule_2715.dat,COc1ccc2c(c1)C(=O)c1c(-c3cc(OC)c(-c4sc(-c5sccc5C)cc4OC)s3)oc(-c3cc(F)co3)c1C2=O,1.962,2.542,2.59085
1010,electronic_prop_molecule_4364.dat,Cn1nc2ccnc(-c3sc4c(-c5cc(F)c(F)c(F)c5)c5c(F)c(-c6cnc(-c7sc8c(-c9cc(F)c(F)c(F)c9)c9c(F)csc9c(-c9cc(F)c(F)c(F)c9)c8c7F)c7nn(C)nc67)sc5c(-c5cc(F)c(F)c(F)c5)c4c3F)c2n1,2.401,2.794,6.22206
1011,electronic_prop_molecule_4402.dat,COc1csc(-c2cnc(-c3sc(-c4c(F)c5cc6c(cc5n4C)c(F)cn6C)c(OC)c3OC)c3nsnc23)c1OC,2.126,2.595,1.50814
