id,fname,SMILES,first_triplet,first_singlet,dipole_moment
26,electronic_prop_molecule_5043.dat,COc1ccoc1-c1oc(-c2ccc(-c3ncc(-c4ccc(-c5cc(OC)c(-c6oc(-c7ccc(-c8ncc(-c9cccs9)c9nsnc89)s7)cc6OC)o5)s4)c4nsnc34)s2)cc1OC,1.598,1.879,3.29844
27,electronic_prop_molecule_77.dat,COc1nc2c(-c3oc(-c4cc5[nH]c6cc(-c7oc(-c8c(OC)c(C)c(-c9oc(-c%10cc%11[nH]c%12ccsc%12c%11o%10)c(F)c9C)c9nc(OC)c(C)nc89)c(SC)c7C)sc6c5o4)c(F)c3C)c(C)c(OC)c(-c3occ(C)c3SC)c2nc1C,2.564,2.817,6.34724
28,electronic_prop_molecule_644.dat,COc1ccc2nsnc2c1-c1oc2c(OC)c3c(C)coc3c(F)c2c1F,2.547,3.114,3.25795
29,electronic_prop_molecule_3432.dat,Cc1cn(C)c(-c2cnc(-c3c(C)c(C)c(-c4ccc(-c5cccs5)s4)n3C)c3nn(C)nc23)c1C,2.694,3.074,1.96185
30,electronic_prop_molecule_877.dat,COc1c2oc(-c3c(SC)c(SC)cc4nc(F)c(SC)nc34)c(F)c2c(F)c2occ(C)c12,2.86,3.269,4.27456
31,electronic_prop_molecule_863.dat,CSc1nc2cc(F)cc(-c3oc(-c4cccs4)cc3C)c2nc1SC,3.026,3.41,1.16158
32,electronic_prop_molecule_88.dat,COc1cc(-c2sc(-c3c(SC)c(C)c(-c4c(C)c(OC)c(-c5ccc(-c6occc6OC)s5)n4C)c4nc(C)c(F)nc34)c(F)c2SC)oc1-c1ccc(-c2c(OC)c(C)c(-c3c(C)c(SC)c(-c4scc(SC)c4F)c4nc(F)c(C)nc34)n2C)s1,2.314,2.617,3.55631
33,electronic_prop_molecule_693.dat,COc1cc(-c2nc3c(-c4cc5c(s4)c(F)c(-c4cc6[nH]c7ccsc7c6o4)n5C)c(OC)c(OC)c(-c4sc5c(C)csc5c4OC)c3nc2-c2cc(F)c(C)c(F)c2)cc(OC)c1C,2.27,2.619,2.37872
34,electronic_prop_molecule_2923.dat,COc1csc(-c2sc(-c3cc(C)c(-c4cc5[nH]c6cc[se]c6c5[se]4)s3)c3c2C(=O)c2c(OC)sc(C)c2C3=O)c1,2.176,2.611,0.89741
35,electronic_prop_molecule_5094.dat,Fc1ccsc1-c1sc(-c2sc(-c3ncc(-c4sc(-c5cc(F)c(-c6sc(-c7sc(-c8ncc(-c9scc(F)c9F)c9nsnc89)c(F)c7F)cc6F)s5)c(F)c4F)c4nsnc34)c(F)c2F)cc1F,1.803,2.12,1.93422
36,electronic_prop_molecule_3383.dat,COc1cc(-c2c3c(F)c(-c4nccc5nsnc45)n(C)c3c(-c3cc(OC)c(OC)c(OC)c3)c3c(F)cn(C)c23)cc(OC)c1OC,2.265,2.687,2.44599
37,electronic_prop_molecule_1594.dat,COc1ccc2c(c1)C(=O)c1c(-c3cc(OC)c(-c4c(SC)c5c(SC)c6scc(F)c6cc5n4C)s3)oc(-c3cc(F)co3)c1C2=O,2.461,2.941,2.66182
38,electronic_prop_molecule_1580.dat,CSc1cc(-c2ccc(-c3cc(F)cc4nc(SC)c(SC)nc34)s2)n(C)c1,2.896,3.313,4.65104
39,electronic_prop_molecule_2089.dat,CSc1cc(-c2c3c(C)coc3c(-c3cc(C)c(C)s3)c3c(F)c(-c4oc5c(SC)c(-c6c(F)c(C)c(-c7c(SC)c8c(c(SC)c(-c9oc%10c(-c%11cc(C)c(C)s%11)c%11c(F)c(-c%12oc%13c(SC)c(-c%14c(F)c(C)c(-c%15c(SC)c%16c(c(SC)cn%16C)n%15C)c%15nn(C)nc%14%15)sc%13c%12C)n(C)c%11c(-c%11cc(SC)c(SC)n%11C)c%10c9C)n8C)n7C)c7nn(C)nc67)sc5c4C)n(C)c23)n(C)c1SC,2.808,3.113,1.08372
40,electronic_prop_molecule_3397.dat,COc1coc2c(C)c3c(OC)c(-c4c(C)c(C)c(-c5ncc(-c6c(C)c(C)cn6C)c6nn(C)nc56)n4C)oc3c(C)c12,2.77,3.195,4.08637
41,electronic_prop_molecule_687.dat,COc1c(C)c(-c2c(C)c3occ(OC)c3n2C)c2nc(SC)cnc2c1-c1cc2c(s1)c(C)c(-c1oc(-c3cccn3C)cc1C)n2C,2.542,2.89,3.39918
42,electronic_prop_molecule_2937.dat,COc1ccc(-c2c3c(OC)c(-c4oc5c(SC)c(-c6cc(OC)c(-c7sc8c(C)cn(C)c8c7C)c7nc(-c8ccc(OC)c(F)c8)c(-c8ccc(OC)c(F)c8)nc67)sc5c4SC)sc3c(-c3cc(C)c(SC)c(F)c3)c3c(SC)cn(C)c23)cc1,2.269,2.594,7.03332
43,electronic_prop_molecule_5080.dat,Cc1ccsc1-c1sc(-c2sc(-c3ncc(-c4sc(-c5cc(C)c(-c6sc(-c7sc(-c8ncc(-c9scc(C)c9C)c9nsnc89)c(C)c7C)cc6C)s5)c(C)c4C)c4nsnc34)c(C)c2C)cc1C,1.88,2.205,1.21999
44,electronic_prop_molecule_1769.dat,COc1cccc(-c2nc3cc(SC)c(F)c(-c4cc(C)c(-c5sccc5SC)o4)c3nc2-c2cc(OC)c(F)c(SC)c2)c1,2.769,3.135,3.0125
45,electronic_prop_molecule_2260.dat,COc1cc(-c2nc3c(-c4c(F)c5scc(SC)c5n4C)c(C)c(SC)c(-c4cc5c(s4)c(F)c(-c4cc6c(-c7cc(OC)c(F)o7)c7sc(-c8sc9c(F)c(-c%10c(C)c(SC)c(-c%11cc%12c(s%11)c(F)c(-c%11cc%13c(-c%14cc(OC)c(F)o%14)c%14sccc%14c(-c%14cc(SC)c(F)n%14C)c%13n%11C)n%12C)c%11nc(-c%12cc(C)cc(C)c%12)c(-c%12ccc(C)c(OC)c%12)nc%10%11)n(C)c9c8SC)cc7c(-c7cc(SC)c(F)n7C)c6n4C)n5C)c3nc2-c2cc(C)cc(C)c2)ccc1C,2.511,2.757,7.74332
46,electronic_prop_molecule_308.dat,CSc1c(-c2sc(-c3oc(-c4ccc(-c5sc6c(SC)c7c(SC)c(-c8sc(-c9oc(-c%10ccc[se]%10)c%10c9C(=O)c9c(coc9F)C%10=O)cc8F)n(C)c7cc6c5F)[se]4)c4c3C(=O)c3c(coc3F)C4=O)cc2F)n(C)c2cc3c(F)csc3c(SC)c12,2.23,2.597,10.77075
47,electronic_prop_molecule_4611.dat,CSc1coc(-c2cnc(-c3oc(-c4oc5cc6c(C)coc6cc5c4C)c(SC)c3SC)c3nonc23)c1SC,1.78,2.374,4.81278
48,electronic_prop_molecule_4177.dat,COc1csc(-c2cnc(-c3sc(-c4cc5c(C)c6occc6c(C)c5o4)c(OC)c3OC)c3nsnc23)c1OC,1.902,2.38,4.55944
49,electronic_prop_molecule_3618.dat,Cc1csc(-c2cnc(-c3sc(-c4cc5c(C)c6c(ccn6C)c(C)c5n4C)c(C)c3C)c3nsnc23)c1C,2.051,2.543,1.3248
50,electronic_prop_molecule_2506.dat,COc1cc(-c2c(SC)ccn2C)oc1-c1oc(-c2oc(-c3cc(SC)c(-c4cc(SC)c(-c5cc(OC)c(-c6oc(-c7oc(-c8cc(SC)cs8)c8c7C(=O)c7c(OC)[se]c(C)c7C8=O)cc6F)o5)n4C)s3)c3c2C(=O)c2c(OC)[se]c(C)c2C3=O)cc1F,2.341,2.712,8.14641
51,electronic_prop_molecule_4163.dat,COc1cn(C)c2c(F)c3c(OC)c(-c4ccc(-c5ncc(-c6cccs6)c6nsnc56)s4)n(C)c3c(F)c12,1.887,2.388,3.20616
